Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,-1614782473,9.56539,-0.817283,0.296384,0.000183975
1,1,0,0,-1614782473,9.56532,-0.817253,0.296384,0.000183975
1,1,0,0,-1614782473,9.56459,-0.817359,0.296384,0.000183975
1,1,0,0,-1614782473,9.56443,-0.817438,0.296384,0.000183975
1,1,0,0,-1614782473,9.5645,-0.817517,0.296384,0.000183975
1,1,0,0,-1614782473,9.5648,-0.817637,0.296384,0.000183975
1,1,0,0,-1614782473,9.56565,-0.817643,0.296384,0.000183975
1,1,0,0,-1614782473,9.5669,-0.817529,0.296384,0.000183975
1,1,0,0,-1614782473,9.56771,-0.81759,0.296384,0.000183975
1,1,0,0,-1614782473,9.56718,-0.817513,0.296384,0.000183975
1,1,0,0,-1614782473,9.56641,-0.817435,0.296384,0.000183975
1,1,0,0,-1614782473,9.56591,-0.817638,0.296384,0.000183975
1,1,0,0,-1614782473,9.56524,-0.817559,0.296384,0.000183975
1,1,0,0,-1614782473,9.56553,-0.817553,0.296384,0.000183975
1,1,0,0,-1614782473,9.56606,-0.817756,0.296384,0.000183975
1,1,0,0,-1614782473,9.56681,-0.817566,0.296384,0.000183975
1,1,0,0,-1614782473,9.5676,-0.817493,0.296384,0.000183975
1,1,0,0,-1614782473,9.56778,-0.81773,0.296384,0.000183975
1,1,0,0,-1614782473,9.56748,-0.817723,0.296384,0.000183975
1,1,0,0,-1614782473,9.56764,-0.817623,0.296384,0.000183975
1,1,0,0,-1614782473,9.56721,-0.817692,0.296384,0.000183975
1,1,0,0,-1614782473,9.5658,-0.817606,0.296384,0.000183975
1,1,0,0,-1614782473,9.56547,-0.817489,0.296384,0.000183975
1,1,0,0,-1614782473,9.56556,-0.81754,0.296384,0.000183975
1,1,0,0,-1614782473,9.56483,-0.817613,0.296384,0.000183975
1,1,0,0,-1614782473,9.56522,-0.817635,0.296384,0.000183975
1,1,0,0,-1614782473,9.5657,-0.817595,0.296384,0.000183975
1,1,0,0,-1614782473,9.56593,-0.817482,0.296384,0.000183975
1,1,0,0,-1614782473,9.56582,-0.817466,0.296384,0.000183975
1,1,0,0,-1614782473,9.56556,-0.817473,0.296384,0.000183975
1,1,0,0,-1614782473,9.56539,-0.817469,0.296384,0.000183975
1,1,0,0,-1614782473,9.5655,-0.817628,0.296384,0.000183975
1,1,0,0,-1614782473,9.56555,-0.817672,0.296384,0.000183975
1,1,0,0,-1614782473,9.56554,-0.81768,0.296384,0.000183975
1,1,0,0,-1614782473,9.5659,-0.817722,0.296384,0.000183975
1,1,0,0,-1614782473,9.56599,-0.817641,0.296384,0.000183975
1,1,0,0,-1614782473,9.56573,-0.817665,0.296384,0.000183975
1,1,0,0,-1614782473,9.56549,-0.817762,0.296384,0.000183975
1,1,0,0,-1614782473,9.56546,-0.817695,0.296384,0.000183975
1,1,0,0,-1614782473,9.56652,-0.817542,0.296384,0.000183975
1,1,0,0,-1614782473,9.56641,-0.817464,0.296384,0.000183975
1,1,0,0,-1614782473,9.56693,-0.817262,0.296384,0.000183975
1,1,0,0,-1614782473,9.56764,-0.81716,0.296384,0.000183975
1,1,0,0,-1614782473,9.56655,-0.817224,0.296384,0.000183975
1,1,0,0,-1614782473,9.5652,-0.817258,0.296384,0.000183975
1,1,0,0,-1614782473,9.56469,-0.81737,0.296384,0.000183975
1,1,0,0,-1614782473,9.56417,-0.81748,0.296384,0.000183975
1,1,0,0,-1614782473,9.56439,-0.817518,0.296384,0.000183975
1,1,0,0,-1614782473,9.56535,-0.817512,0.296384,0.000183975
1,1,0,0,-1614782473,9.566,-0.817512,0.296384,0.000183975
1,1,0,0,-1614782473,9.56607,-0.817439,0.296384,0.000183975
1,1,0,0,-1614782473,9.56694,-0.817377,0.296384,0.000183975
1,1,0,0,-1614782473,9.56721,-0.817364,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817361,0.296384,0.000183975
1,1,0,0,-1614782473,9.56692,-0.817362,0.296384,0.000183975
1,1,0,0,-1614782473,9.56704,-0.817385,0.296384,0.000183975
1,1,0,0,-1614782473,9.56691,-0.817231,0.296384,0.000183975
1,1,0,0,-1614782473,9.56629,-0.817329,0.296384,0.000183975
1,1,0,0,-1614782473,9.56627,-0.817291,0.296384,0.000183975
1,1,0,0,-1614782473,9.56677,-0.817212,0.296384,0.000183975
1,1,0,0,-1614782473,9.566,-0.817424,0.296384,0.000183975
1,1,0,0,-1614782473,9.5666,-0.817452,0.296384,0.000183975
1,1,0,0,-1614782473,9.5676,-0.817302,0.296384,0.000183975
1,1,0,0,-1614782473,9.56721,-0.817505,0.296384,0.000183975
1,1,0,0,-1614782473,9.56715,-0.817491,0.296384,0.000183975
1,1,0,0,-1614782473,9.56671,-0.81748,0.296384,0.000183975
1,1,0,0,-1614782473,9.56649,-0.817576,0.296384,0.000183975
1,1,0,0,-1614782473,9.56686,-0.817514,0.296384,0.000183975
1,1,0,0,-1614782473,9.56727,-0.81745,0.296384,0.000183975
1,1,0,0,-1614782473,9.56759,-0.817337,0.296384,0.000183975
1,1,0,0,-1614782473,9.56817,-0.81723,0.296384,0.000183975
1,1,0,0,-1614782473,9.5681,-0.81726,0.296384,0.000183975
1,1,0,0,-1614782473,9.56764,-0.817304,0.296384,0.000183975
1,1,0,0,-1614782473,9.56684,-0.817382,0.296384,0.000183975
1,1,0,0,-1614782473,9.56651,-0.817422,0.296384,0.000183975
1,1,0,0,-1614782473,9.56649,-0.81736,0.296384,0.000183975
1,1,0,0,-1614782473,9.56651,-0.817248,0.296384,0.000183975
1,1,0,0,-1614782473,9.56719,-0.817189,0.296384,0.000183975
1,1,0,0,-1614782473,9.5687,-0.817193,0.296384,0.000183975
1,1,0,0,-1614782473,9.56852,-0.817153,0.296384,0.000183975
1,1,0,0,-1614782473,9.56793,-0.817233,0.296384,0.000183975
1,1,0,0,-1614782473,9.56883,-0.817232,0.296384,0.000183975
1,1,0,0,-1614782473,9.56852,-0.817189,0.296384,0.000183975
1,1,0,0,-1614782473,9.5681,-0.817175,0.296384,0.000183975
1,1,0,0,-1614782473,9.56871,-0.817166,0.296384,0.000183975
1,1,0,0,-1614782473,9.56854,-0.817118,0.296384,0.000183975
1,1,0,0,-1614782473,9.56811,-0.817331,0.296384,0.000183975
1,1,0,0,-1614782473,9.56863,-0.817388,0.296384,0.000183975
1,1,0,0,-1614782473,9.56817,-0.817478,0.296384,0.000183975
1,1,0,0,-1614782473,9.56812,-0.817609,0.296384,0.000183975
1,1,0,0,-1614782473,9.56883,-0.817628,0.296384,0.000183975
1,1,0,0,-1614782473,9.56862,-0.817671,0.296384,0.000183975
1,1,0,0,-1614782473,9.56811,-0.817715,0.296384,0.000183975
1,1,0,0,-1614782473,9.56777,-0.817687,0.296384,0.000183975
1,1,0,0,-1614782473,9.56734,-0.817655,0.296384,0.000183975
1,1,0,0,-1614782473,9.56736,-0.817499,0.296384,0.000183975
1,1,0,0,-1614782473,9.56639,-0.81753,0.296384,0.000183975
1,1,0,0,-1614782473,9.56672,-0.817491,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817454,0.296384,0.000183975
1,1,0,0,-1614782473,9.56723,-0.817483,0.296384,0.000183975
1,1,0,0,-1614782473,9.56774,-0.81749,0.296384,0.000183975
1,1,0,0,-1614782473,9.56829,-0.817528,0.296384,0.000183975
1,1,0,0,-1614782473,9.56917,-0.817524,0.296384,0.000183975
1,1,0,0,-1614782473,9.56811,-0.817638,0.296384,0.000183975
1,1,0,0,-1614782473,9.56766,-0.817672,0.296384,0.000183975
1,1,0,0,-1614782473,9.56766,-0.817702,0.296384,0.000183975
1,1,0,0,-1614782473,9.5669,-0.817714,0.296384,0.000183975
1,1,0,0,-1614782473,9.56733,-0.817625,0.296384,0.000183975
1,1,0,0,-1614782473,9.56839,-0.817512,0.296384,0.000183975
1,1,0,0,-1614782473,9.56846,-0.817535,0.296384,0.000183975
1,1,0,0,-1614782473,9.56927,-0.817468,0.296384,0.000183975
1,1,0,0,-1614782473,9.5698,-0.817444,0.296384,0.000183975
1,1,0,0,-1614782473,9.56871,-0.817661,0.296384,0.000183975
1,1,0,0,-1614782473,9.56765,-0.817575,0.296384,0.000183975
1,1,0,0,-1614782473,9.5671,-0.817494,0.296384,0.000183975
1,1,0,0,-1614782473,9.56617,-0.817674,0.296384,0.000183975
1,1,0,0,-1614782473,9.56601,-0.817703,0.296384,0.000183975
1,1,0,0,-1614782473,9.5659,-0.817679,0.296384,0.000183975
1,1,0,0,-1614782473,9.56682,-0.81774,0.296384,0.000183975
1,1,0,0,-1614782473,9.56743,-0.817709,0.296384,0.000183975
1,1,0,0,-1614782473,9.56749,-0.817595,0.296384,0.000183975
1,1,0,0,-1614782473,9.5685,-0.817514,0.296384,0.000183975
1,1,0,0,-1614782473,9.56934,-0.817497,0.296384,0.000183975
1,1,0,0,-1614782473,9.5686,-0.817532,0.296384,0.000183975
1,1,0,0,-1614782473,9.56797,-0.817509,0.296384,0.000183975
1,1,0,0,-1614782473,9.56805,-0.817455,0.296384,0.000183975
1,1,0,0,-1614782473,9.56735,-0.817353,0.296384,0.000183975
1,1,0,0,-1614782473,9.5671,-0.817321,0.296384,0.000183975
1,1,0,0,-1614782473,9.56776,-0.817237,0.296384,0.000183975
1,1,0,0,-1614782473,9.56798,-0.817331,0.296384,0.000183975
1,1,0,0,-1614782473,9.56734,-0.817551,0.296384,0.000183975
1,1,0,0,-1614782473,9.56751,-0.817615,0.296384,0.000183975
1,1,0,0,-1614782473,9.56742,-0.817804,0.296384,0.000183975
1,1,0,0,-1614782473,9.56793,-0.817788,0.296384,0.000183975
1,1,0,0,-1614782473,9.56808,-0.817641,0.296384,0.000183975
1,1,0,0,-1614782473,9.56792,-0.817623,0.296384,0.000183975
1,1,0,0,-1614782473,9.56812,-0.817546,0.296384,0.000183975
1,1,0,0,-1614782473,9.56768,-0.817537,0.296384,0.000183975
1,1,0,0,-1614782473,9.56695,-0.817568,0.296384,0.000183975
1,1,0,0,-1614782473,9.56672,-0.81763,0.296384,0.000183975
1,1,0,0,-1614782473,9.56642,-0.817654,0.296384,0.000183975
1,1,0,0,-1614782473,9.5665,-0.817631,0.296384,0.000183975
1,1,0,0,-1614782473,9.56633,-0.817707,0.296384,0.000183975
1,1,0,0,-1614782473,9.56712,-0.817687,0.296384,0.000183975
1,1,0,0,-1614782473,9.56751,-0.817599,0.296384,0.000183975
1,1,0,0,-1614782473,9.5673,-0.81758,0.296384,0.000183975
1,1,0,0,-1614782473,9.5678,-0.817503,0.296384,0.000183975
1,1,0,0,-1614782473,9.56864,-0.817371,0.296384,0.000183975
1,1,0,0,-1614782473,9.56833,-0.817462,0.296384,0.000183975
1,1,0,0,-1614782473,9.56855,-0.817465,0.296384,0.000183975
1,1,0,0,-1614782473,9.56844,-0.817525,0.296384,0.000183975
1,1,0,0,-1614782473,9.56737,-0.817582,0.296384,0.000183975
1,1,0,0,-1614782473,9.5674,-0.817558,0.296384,0.000183975
1,1,0,0,-1614782473,9.5669,-0.817581,0.296384,0.000183975
1,1,0,0,-1614782473,9.56674,-0.817598,0.296384,0.000183975
1,1,0,0,-1614782473,9.56712,-0.817529,0.296384,0.000183975
1,1,0,0,-1614782473,9.56657,-0.8175,0.296384,0.000183975
1,1,0,0,-1614782473,9.56654,-0.817481,0.296384,0.000183975
1,1,0,0,-1614782473,9.56695,-0.817287,0.296384,0.000183975
1,1,0,0,-1614782473,9.56729,-0.817369,0.296384,0.000183975
1,1,0,0,-1614782473,9.56689,-0.817434,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817486,0.296384,0.000183975
1,1,0,0,-1614782473,9.5673,-0.8175,0.296384,0.000183975
1,1,0,0,-1614782473,9.56645,-0.817563,0.296384,0.000183975
1,1,0,0,-1614782473,9.56622,-0.817555,0.296384,0.000183975
1,1,0,0,-1614782473,9.56702,-0.817488,0.296384,0.000183975
1,1,0,0,-1614782473,9.5671,-0.817436,0.296384,0.000183975
1,1,0,0,-1614782473,9.56749,-0.817421,0.296384,0.000183975
1,1,0,0,-1614782473,9.5686,-0.817459,0.296384,0.000183975
1,1,0,0,-1614782473,9.56828,-0.817459,0.296384,0.000183975
1,1,0,0,-1614782473,9.56749,-0.817497,0.296384,0.000183975
1,1,0,0,-1614782473,9.56725,-0.817519,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817478,0.296384,0.000183975
1,1,0,0,-1614782473,9.56675,-0.817437,0.296384,0.000183975
1,1,0,0,-1614782473,9.56704,-0.817484,0.296384,0.000183975
1,1,0,0,-1614782473,9.56766,-0.81744,0.296384,0.000183975
1,1,0,0,-1614782473,9.56846,-0.817356,0.296384,0.000183975
1,1,0,0,-1614782473,9.56803,-0.817306,0.296384,0.000183975
1,1,0,0,-1614782473,9.56758,-0.817277,0.296384,0.000183975
1,1,0,0,-1614782473,9.56782,-0.817193,0.296384,0.000183975
1,1,0,0,-1614782473,9.56742,-0.817278,0.296384,0.000183975
1,1,0,0,-1614782473,9.56661,-0.817387,0.296384,0.000183975
1,1,0,0,-1614782473,9.56648,-0.817405,0.296384,0.000183975
1,1,0,0,-1614782473,9.5669,-0.817461,0.296384,0.000183975
1,1,0,0,-1614782473,9.56627,-0.817506,0.296384,0.000183975
1,1,0,0,-1614782473,9.56749,-0.817433,0.296384,0.000183975
1,1,0,0,-1614782473,9.56833,-0.817376,0.296384,0.000183975
1,1,0,0,-1614782473,9.56856,-0.817365,0.296384,0.000183975
1,1,0,0,-1614782473,9.56921,-0.817506,0.296384,0.000183975
1,1,0,0,-1614782473,9.56864,-0.817531,0.296384,0.000183975
1,1,0,0,-1614782473,9.56776,-0.817494,0.296384,0.000183975
1,1,0,0,-1614782473,9.56701,-0.817454,0.296384,0.000183975
1,1,0,0,-1614782473,9.56608,-0.817397,0.296384,0.000183975
1,1,0,0,-1614782473,9.56679,-0.817331,0.296384,0.000183975
1,1,0,0,-1614782473,9.56694,-0.817448,0.296384,0.000183975
1,1,0,0,-1614782473,9.56672,-0.817581,0.296384,0.000183975
1,1,0,0,-1614782473,9.56709,-0.817552,0.296384,0.000183975
1,1,0,0,-1614782473,9.56716,-0.817531,0.296384,0.000183975
1,1,0,0,-1614782473,9.56689,-0.817553,0.296384,0.000183975
1,1,0,0,-1614782473,9.56825,-0.817404,0.296384,0.000183975
1,1,0,0,-1614782473,9.56834,-0.817401,0.296384,0.000183975
1,1,0,0,-1614782473,9.56861,-0.817397,0.296384,0.000183975
1,1,0,0,-1614782473,9.56858,-0.817375,0.296384,0.000183975
1,1,0,0,-1614782473,9.56839,-0.817379,0.296384,0.000183975
1,1,0,0,-1614782473,9.5688,-0.817329,0.296384,0.000183975
1,1,0,0,-1614782473,9.56837,-0.817283,0.296384,0.000183975
1,1,0,0,-1614782473,9.56842,-0.817197,0.296384,0.000183975
1,1,0,0,-1614782473,9.56929,-0.817085,0.296384,0.000183975
1,1,0,0,-1614782473,9.56917,-0.817057,0.296384,0.000183975
1,1,0,0,-1614782473,9.56924,-0.817118,0.296384,0.000183975
1,1,0,0,-1614782473,9.56968,-0.817184,0.296384,0.000183975
1,1,0,0,-1614782473,9.5696,-0.817289,0.296384,0.000183975
1,1,0,0,-1614782473,9.56881,-0.817357,0.296384,0.000183975
1,1,0,0,-1614782473,9.56825,-0.817409,0.296384,0.000183975
1,1,0,0,-1614782473,9.56793,-0.817322,0.296384,0.000183975
1,1,0,0,-1614782473,9.56791,-0.817137,0.296384,0.000183975
1,1,0,0,-1614782473,9.5673,-0.817053,0.296384,0.000183975
1,1,0,0,-1614782473,9.56776,-0.816992,0.296384,0.000183975
1,1,0,0,-1614782473,9.5684,-0.81694,0.296384,0.000183975
1,1,0,0,-1614782473,9.56825,-0.816947,0.296384,0.000183975
1,1,0,0,-1614782473,9.56802,-0.817063,0.296384,0.000183975
1,1,0,0,-1614782473,9.56794,-0.817039,0.296384,0.000183975
1,1,0,0,-1614782473,9.56822,-0.816934,0.296384,0.000183975
1,1,0,0,-1614782473,9.56872,-0.816886,0.296384,0.000183975
1,1,0,0,-1614782473,9.5693,-0.816902,0.296384,0.000183975
1,1,0,0,-1614782473,9.56926,-0.816957,0.296384,0.000183975
1,1,0,0,-1614782473,9.57018,-0.817031,0.296384,0.000183975
1,1,0,0,-1614782473,9.56996,-0.817136,0.296384,0.000183975
1,1,0,0,-1614782473,9.56966,-0.81717,0.296384,0.000183975
1,1,0,0,-1614782473,9.56963,-0.817106,0.296384,0.000183975
1,1,0,0,-1614782473,9.56892,-0.817094,0.296384,0.000183975
1,1,0,0,-1614782473,9.56799,-0.817152,0.296384,0.000183975
1,1,0,0,-1614782473,9.5677,-0.817195,0.296384,0.000183975
1,1,0,0,-1614782473,9.56736,-0.817199,0.296384,0.000183975
1,1,0,0,-1614782473,9.56723,-0.817182,0.296384,0.000183975
1,1,0,0,-1614782473,9.56705,-0.817196,0.296384,0.000183975
1,1,0,0,-1614782473,9.56687,-0.817248,0.296384,0.000183975
1,1,0,0,-1614782473,9.56689,-0.817289,0.296384,0.000183975
1,1,0,0,-1614782473,9.56673,-0.817309,0.296384,0.000183975
1,1,0,0,-1614782473,9.56663,-0.817415,0.296384,0.000183975
1,1,0,0,-1614782473,9.56676,-0.817408,0.296384,0.000183975
1,1,0,0,-1614782473,9.5669,-0.817232,0.296384,0.000183975
1,1,0,0,-1614782473,9.56738,-0.817264,0.296384,0.000183975
1,1,0,0,-1614782473,9.56816,-0.817208,0.296384,0.000183975
1,1,0,0,-1614782473,9.56852,-0.817192,0.296384,0.000183975
1,1,0,0,-1614782473,9.56878,-0.81731,0.296384,0.000183975
1,1,0,0,-1614782473,9.56879,-0.817389,0.296384,0.000183975
1,1,0,0,-1614782473,9.5675,-0.817497,0.296384,0.000183975
1,1,0,0,-1614782473,9.56761,-0.817507,0.296384,0.000183975
