Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.495882,1,1,0,0,4,8.58929,-0.699228,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.50695,1,1,0,0,4,8.58909,-0.699264,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.5189,1,1,0,0,4,8.58881,-0.69932,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.529626,1,1,0,0,4,8.58809,-0.699338,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.54053,1,1,0,0,4,8.5877,-0.699319,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.552119,1,1,0,0,4,8.58814,-0.699353,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.562784,1,1,0,0,4,8.58911,-0.699265,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.573386,1,1,0,0,4,8.5895,-0.699167,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.584919,1,1,0,0,4,8.5898,-0.699189,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.595715,1,1,0,0,4,8.58964,-0.699086,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.606687,1,1,0,0,4,8.58886,-0.699019,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.617508,1,1,0,0,4,8.58945,-0.699049,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.628291,1,1,0,0,4,8.59025,-0.698834,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.639732,1,1,0,0,4,8.59027,-0.698768,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.65041,1,1,0,0,4,8.59035,-0.698798,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.662373,1,1,0,0,4,8.58986,-0.698831,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.673268,1,1,0,0,4,8.58866,-0.698954,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.685077,1,1,0,0,4,8.58851,-0.699077,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.69714,1,1,0,0,4,8.58902,-0.698979,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.708752,1,1,0,0,4,8.58937,-0.698905,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.719097,1,1,0,0,4,8.58953,-0.698872,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
