Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,9.39115,-0.742219,-13.5814,0.000735901
1,1,0,5,0,9.39215,-0.74211,-13.5814,0.000735901
1,1,0,5,0,9.39326,-0.742137,-13.5814,0.000735901
1,1,0,5,0,9.39425,-0.742153,-13.5814,0.000735901
1,1,0,5,0,9.39395,-0.742229,-13.5814,0.000735901
1,1,0,5,0,9.39281,-0.742424,-13.5814,0.000735901
1,1,0,5,0,9.39171,-0.742594,-13.5814,0.000735901
1,1,0,5,0,9.39077,-0.742726,-13.5814,0.000735901
1,1,0,5,0,9.39097,-0.74283,-13.5814,0.000735901
1,1,0,5,0,9.39135,-0.742788,-13.5814,0.000735901
1,1,0,5,0,9.39208,-0.742711,-13.5814,0.000735901
1,1,0,5,0,9.39226,-0.742659,-13.5814,0.000735901
1,1,0,5,0,9.39209,-0.742646,-13.5814,0.000735901
1,1,0,5,0,9.39187,-0.742635,-13.5814,0.000735901
1,1,0,5,0,9.39135,-0.742614,-13.5814,0.000735901
1,1,0,5,0,9.39099,-0.742612,-13.5814,0.000735901
1,1,0,5,0,9.39103,-0.742488,-13.5814,0.000735901
1,1,0,5,0,9.39129,-0.742534,-13.5814,0.000735901
1,1,0,5,0,9.3913,-0.742586,-13.5814,0.000735901
1,1,0,5,0,9.39126,-0.742601,-13.5814,0.000735901
1,1,0,5,0,9.39136,-0.742624,-13.5814,0.000735901
1,1,0,5,0,9.39212,-0.742564,-13.5814,0.000735901
1,1,0,5,0,9.39223,-0.742458,-13.5814,0.000735901
1,1,0,5,0,9.39211,-0.742424,-13.5814,0.000735901
1,1,0,5,0,9.39305,-0.742398,-13.5814,0.000735901
1,1,0,5,0,9.39353,-0.742408,-13.5814,0.000735901
1,1,0,5,0,9.39251,-0.742314,-13.5814,0.000735901
1,1,0,5,0,9.39258,-0.742383,-13.5814,0.000735901
1,1,0,5,0,9.3925,-0.742294,-13.5814,0.000735901
1,1,0,5,0,9.39295,-0.742306,-13.5814,0.000735901
1,1,0,5,0,9.39325,-0.742391,-13.5814,0.000735901
1,1,0,5,0,9.39383,-0.742405,-13.5814,0.000735901
1,1,0,5,0,9.39365,-0.742435,-13.5814,0.000735901
1,1,0,5,0,9.39317,-0.742454,-13.5814,0.000735901
1,1,0,5,0,9.39354,-0.742333,-13.5814,0.000735901
1,1,0,5,0,9.39446,-0.742242,-13.5814,0.000735901
1,1,0,5,0,9.39524,-0.742201,-13.5814,0.000735901
