2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.653 VERB  [16928] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:26.679 VERB  [16928] Set q8_usb-0 options to: ""
2020-12-07 13:09:26.679 VERB  [16928] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:09:26.679 VERB  [16928] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:09:26.679 VERB  [16928] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:09:26.679 VERB  [16928] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:09:26.690 VERB  [16928] Set q8_usb-0 options to: ""
2020-12-07 13:09:26.701 VERB  [16928] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:09:26.701 VERB  [16928] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:09:26.701 VERB  [16928] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:09:26.701 INFO  [16928] Opened q8_usb-0
2020-12-07 13:09:26.702 VERB  [16928] Enabled q8_usb-0
2020-12-07 13:09:44.081 VERB  [16928] Wrote q8_usb-0.encoder encoder counts.
2020-12-07 13:11:29.741 VERB  [16928] Disabled q8_usb-0
2020-12-07 13:11:29.741 VERB  [16928] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:11:29.741 VERB  [16928] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:11:29.753 INFO  [16928] Closed q8_usb-0
2020-12-07 13:28:08.646 INFO  [17152] Logger 0 Initialized
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.777 VERB  [17152] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:28:08.801 VERB  [17152] Set q8_usb-0 options to: ""
2020-12-07 13:28:08.801 VERB  [17152] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:28:08.802 VERB  [17152] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:28:08.802 VERB  [17152] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:28:08.802 VERB  [17152] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:28:08.812 VERB  [17152] Set q8_usb-0 options to: ""
2020-12-07 13:28:08.822 VERB  [17152] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:28:08.822 VERB  [17152] Stopped watchdog on q8_usb-0.watchdog.
